Name,Varietal,Producer,Origin,Processing,Cupping notes,Brewing recipe,package weight,price,Recommend for,Flavor
HARU,74112 1377,Abayneh family & 453 smallholder farmers,"Foge,Yigracheffe",Fully washed,"Earl grey tea, Jasmine, tangerince candy, orange blossom, kaffir lime",,200g,21,"Espresso & Filter, morning","sweet, floral, tea-like, citrus fruit"
KEBEDE MARO,"Wolisho, Dega",KEBEDE MARO,"Konga, Yigracheffe",Natural,"Passionfruit, Cordial, Mango puree, Rooibos tea, golden kiwi",,200g,22,"Espresso & Filter, morning","sweet, tea-like, tropical fruit"
AQUIARES ESTATE,Esperanza,Don Alfonso,"Turrialba, Costa Rica",Honey process,"Green plums, baked granny apples, light honey, red tea, marzipan",,200g,22,"Espresso & Filter, morning","sweet, tea-like, stone fruit, pome fruit"
DUROMINA,"74110, 74112",Various smallholder farmers,"Agaro, Ethiopia",Fully washed,"Bergamot, orange blossom, oolong tea, yellow peach, snow pear",,200g,21,"Espresso & Filter, morning","tea-like, citrus fruit, stone fruit, pome fruit"
KEBEDE MARO,"Wolisho, Dega",KEBEDE MARO,"Konga, Ethiopia",Natural,"Rose cordial, evaporated milk, hawaiian papaya, honey apricot, silver neddle white tea",,200g,22,"Espresso & Filter, morning,afternoon,anytime","sweet, floral, tea-like, stone fruit, tropical fruit"
IJEN LESTARI,Mixed Variety,Dandy Dharmawan,"East Java, Indonesia","72 hours carbonic maceration, dried nutural","Grenadine syrup, tinned pineapple, dark chocolate, Honeydew, Maraschino cherry",,200g,22,"Espresso & Filter,morning, afternoon","chocolaty, sweet, stone fruit, tropical fruit, pome fruit"
BEDESSA,"74110, 74112",Various smallholder farmers,"Oromia, Ethopia",Fully washed,"Orange blossom, Earl grey, papaya, honeysuckle, bergamot",,200g,22,"Espresso & Filter,morning","sweet, tea-like, citrus fruit, tropical fruit, herb-like"
MAHEMBE GITUNTU,Red Bourbon,Justin Musabyimana,"Nyamesheke, Rwanda",Fully washed,"Poached apples, mixed berries, spiced tea, vanilla, Hibiscus",,200g,22,"Espresso & Filter,morning","sweet, tea-like, pome fruit"
V,Castillo,Santiago London,"Quindio, Colombia","24 hour Anaerobic fermentation, 24 hour Aerobic fermentation, pulped&dried as honey","Kyoho grape, Raspeberry compote, tangerine, golden kiwi, golden rum",,120g,25,"filter,morning","citrus fruit, berry, tropical fruit, alcohol"
Karora,Red Bourbon,Francine Nyiramana & Immaculee Mukamana,"Karongi, Rwanda",Dried on raised beds for 3-4 weeks,"Pitted Prunes, milk tea, starfruit, brown sugar, dried red dates",,200g,21,"Espresso & Filter,afternoon,evening, anytime","sweet, tea-like, tropical fruit, dried fruit"
KANGOCHO AA,"SL28, SL34, Batian, Ruiru 11",Gikanda Famers Cooperative Society,"Nyeri, Kenya","Pulped & Dry Fermented for 12 hours, washed & dried over 14 days on drying tables","Pink lemonade, ripe gooseberry, Acacia honey, strawberry tea, white chrysanthemum",,200g,21,"Espresso & Filter,morning","sweet, tea-like, citrus fruit, berry, herb-like"
BOMBA DE FRUTA #1,Catuai,Moises herrera and Marysabel Caballero,"Marcala, Honduras",20-40 days drying on covered raised bed,"Sugar plums, mangoteen, dark cherry, Cacao, Dark honey",,200g,21,"Espresso & Filter,afternoon,evening, anytime","chocolaty, sweet, stone fruit, tropical fruit"
